"Rolls","Foe","Type","Rank"
"1-22","Marsh Rat","Animal","Troublesome"
"23-26","Broken","Ironlander","Troublesome"
"27-30","Common folk","Ironlander","Troublesome"
"31-40","Mystic","Ironlander","Dangerous"
"41-44","Raider","Ironlander","Dangerous"
"45-48","Warrior","Ironlander","Dangerous"
"49-80","Bonewalker","Horror","Dangerous"
"81-86","Sodden","Horror","Formidable"
"87-90","Haunt","Horror","Formidable"
"91-95","Troll","Firstborn","Formidable"
"96-119","Basilisk","Beast","Extreme"
"120-123","River Primordial","Firstborn","Extreme"
