Foe,Type,Rank
Wounded Hunter,Ironlander,Troublesome
Maimed Spider,Beast,Troublesome
Marsh Rat,Animal,Troublesome
Elf,Firstborn,Dangerous
Hunter,Ironlander,Dangerous
Varou,Firstborn,Dangerous
Gaunt,Animal,Dangerous
Harrow Spider,Beast,Dangerous
Mystic,Ironlander,Dangerous
Ash Bear,Animal,Formidable
Warband of Elves,Firstborn,Formidable
Several Harrow Spiders,Beast,Formidable
Company of Hunters,Ironlander,Extreme
Hollow,Horror,Extreme
Elder Beast,Beast,Extreme
Forest primordial,Firstborn,Extreme
Verdant Wyvern,Beast,Extreme
Chimera,Horror,Extreme
Iron Revenant,Horror,Extreme
