Foe,Type,Rank
Broken,Ironlander,Troublesome
Shadow,Horror,Troublesome
Looter,Ironlander,Troublesome
Weakened raider,Ironlander,Troublesome
Group of Broken,Ironlander,Dangerous
Mystic,Ironlander,Dangerous
Raider,Ironlander,Dangerous
Boar,Animal,Dangerous
Band of Raiders,Ironlander,Formidable
Pack of Wolves,Animal,Formidable
Haunt,Horror,Formidable
Troll,Firstborn,Formidable
Large Group of Raiders,Ironlander,Extreme
River Primordial,Firstborn,Extreme
Elder Beast,Beast,Extreme
Chimera,Horror,Extreme
Iron Revenant,Horror,Extreme
