Foe,Type,Rank
Marsh Rat,Animal,Troublesome
Broken,Ironlander,Troublesome
Common folk,Ironlander,Troublesome
Hunter,Ironlander,Dangerous
Elf,Firstborn,Dangerous
Varou,Firstborn,Dangerous
Gaunt,Animal,Dangerous
Harrow Spider,Beast,Dangerous
Group of Hunters,Ironlander,Formidable
Group of Elves,Firstborn,Formidable
Ash Bear,Animal,Formidable
Haunt,Horror,Formidable
Troll,Firstborn,Formidable
Hollow,Horror,Extreme
Elder Beast,Beast,Extreme
Forest Primordial,Firstborn,Extreme
Verdant Wyvern,Beast,Extreme
