Foe,Type,Rank
Common folk,Ironlander,Troublesome
Raider,Ironlander,Dangerous
Mystic,Ironlander,Dangerous
Warrior,Ironlander,Dangerous
Wolf,Animal,Dangerous
Haunt,Horror,Formidable
Pack of wolves,Animal,Formidable
Band of Raiders,Ironlander,Formidable
Large Band of Raiders,Ironlander,Extreme
Giant,Firstborn,Extreme
Elder Beast,Beast,Extreme
Iron Wyvern,Beast,Extreme
Mammoth,Beast,Extreme
Mountain Primordial,Firstborn,Extreme
Iron Revenant,Horror,Extreme
Chimera,Horror,Extreme
Trio of Enraged Mammoths,Beast,Epic
