"Rolls","Foe","Type","Rank"
"1-41","Broken","Ironlander","Troublesome"
"42-44","Common folk","Ironlander","Troublesome"
"45-79","Raider","Ironlander","Dangerous"
"80-82","Mystic","Ironlander","Dangerous"
"83-85","Warrior","Ironlander","Dangerous"
"86-88","Boar","Animal","Dangerous"
"89-91","Wolf","Animal","Dangerous"
"92-95","Haunt","Horror","Formidable"
"96-101","Troll","Firstborn","Formidable"
"102-104","River Primordial","Firstborn","Extreme"
"105-112","Elder Beast","Beast","Extreme"
"113-115","Chimera","Horror","Extreme"
"116-118","Iron Revenant","Horror","Extreme"
