"Rolls","Foe","Type","Rank"
"1-8","Marsh Rat","Animal","Troublesome"
"9-11","Broken","Ironlander","Troublesome"
"12-14","Common folk","Ironlander","Troublesome"
"15-28","Hunter","Ironlander","Dangerous"
"29-45","Elf","Firstborn","Dangerous"
"46-48","Varou","Firstborn","Dangerous"
"49-51","Gaunt","Animal","Dangerous"
"52-54","Harrow Spider","Beast","Dangerous"
"55-81","Ash Bear","Animal","Formidable"
"82-89","Haunt","Horror","Formidable"
"90-92","Troll","Firstborn","Formidable"
"93-98","Hollow","Horror","Extreme"
"99-112","Elder Beast","Beast","Extreme"
"113-129","Forest Primordial","Firstborn","Extreme"
"130-132","Verdant Wyvern","Beast","Extreme"
