"Rolls","Foe","Type","Rank"
"1-22","Marsh Rat","Animal","Troublesome"
"23-25","Common Folk","Ironlander","Troublesome"
"26-57","Mystic","Ironlander","Dangerous"
"58-60","Warrior","Ironlander","Dangerous"
"61-63","Raider","Ironlander","Dangerous"
"64-66","Bonewalker","Horror","Dangerous"
"67-69","Mischief of Marsh Rats","Animal","Dangerous"
"70-78","Band of Raiders","Ironlander","Formidable"
"79-93","Sodden","Horror","Formidable"
"94-96","Haunt","Horror","Formidable"
"97-105","Tawny Wyvern","Beast","Extreme"
"106-113","Sea Primordial","Firstborn","Extreme"
"114-116","Iron Revenant","Horror","Extreme"
"117-119","Chimera","Horror","Extreme"
"120-123","Leviathan","Beast","Epic"
