"Rolls","Foe","Type","Rank"
"1-15","Wounded Hunter","Ironlander","Troublesome"
"16-18","Maimed Spider","Beast","Troublesome"
"19-33","Marsh Rat","Animal","Troublesome"
"34-48","Elf","Firstborn","Dangerous"
"49-57","Hunter","Ironlander","Dangerous"
"58-69","Varou","Firstborn","Dangerous"
"70-72","Gaunt","Animal","Dangerous"
"73-75","Harrow Spider","Beast","Dangerous"
"76-78","Mystic","Ironlander","Dangerous"
"79-93","Ash Bear","Animal","Formidable"
"94-105","Warband of Elves","Firstborn","Formidable"
"106-108","Several Harrow Spiders","Beast","Formidable"
"109-111","Company of Hunters","Ironlander","Extreme"
"112-120","Hollow","Horror","Extreme"
"121-123","Elder Beast","Beast","Extreme"
"124-129","Forest primordial","Firstborn","Extreme"
"130-132","Verdant Wyvern","Beast","Extreme"
"133-135","Chimera","Horror","Extreme"
"136-138","Iron Revenant","Horror","Extreme"
