"Rolls","Foe","Type","Rank"
"1-16","Marsh Rat","Animal","Troublesome"
"17-29","Broken","Ironlander","Troublesome"
"30-33","Common folk","Ironlander","Troublesome"
"34-38","Mystic","Ironlander","Dangerous"
"39-54","Mischief of Marsh Rats","Animal","Dangerous"
"55-58","Warrior","Ironlander","Dangerous"
"59-74","Bonewalker","Horror","Dangerous"
"75-82","Pack of Wolves","Animal","Formidable"
"83-98","Sodden","Horror","Formidable"
"99-108","Haunt","Horror","Formidable"
"109-113","Troll","Firstborn","Formidable"
"114-129","Basilisk","Beast","Extreme"
"130-133","Chimera","Horror","Extreme"
"134-137","River Primordial","Firstborn","Extreme"
"138-141","Iron Revenant","Horror","Extreme"
