"Rolls","Foe","Type","Rank"
"1-15","Broken","Ironlander","Troublesome"
"16-30","Common folk","Ironlander","Troublesome"
"31-45","Group of Broken","Ironlander","Dangerous"
"46-60","Warrior","Ironlander","Dangerous"
"61-66","Mystic","Ironlander","Dangerous"
"67-68","Raider","Ironlander","Dangerous"
"69-76","Boar","Animal","Dangerous"
"77-91","Band of Raiders","Ironlander","Formidable"
"92-106","Pack of Wolves","Animal","Formidable"
"107-111","Haunt","Horror","Formidable"
"112-114","Troll","Firstborn","Formidable"
"115-122","Large Group of Raiders","Ironlander","Extreme"
"123-127","River Primordial","Firstborn","Extreme"
"128-135","Elder Beast","Beast","Extreme"
"136-137","Chimera","Horror","Extreme"
"138-139","Iron Revenant","Horror","Extreme"
