"Rolls","Foe","Type","Rank"
"1-15","Broken","Ironlander","Troublesome"
"16-30","Common folk","Ironlander","Troublesome"
"31-38","Raider","Ironlander","Dangerous"
"39-41","Warrior","Ironlander","Dangerous"
"42-44","Mystic","Ironlander","Dangerous"
"45-59","Boar","Animal","Dangerous"
"60-74","Bonewalker","Horror","Dangerous"
"75-77","Band of Raiders","Ironlander","Formidable"
"78-92","Pack of Wolves","Animal","Formidable"
"93-98","Sodden","Horror","Formidable"
"99-101","Haunt","Horror","Formidable"
"102-104","Large group of Broken","Ironlander","Formidable"
"105-107","Large Band of Raiders","Ironlander","Extreme"
"108-122","Sea Primordial","Firstborn","Extreme"
"123-128","Tawny Wyvern","Beast","Extreme"
"129-131","Iron Revenant","Horror","Extreme"
"132-134","Chimera","Horror","Extreme"
