"Rolls","Foe","Type","Rank"
"1-8","Common folk","Ironlander","Troublesome"
"9-11","Raider","Ironlander","Dangerous"
"12-14","Mystic","Ironlander","Dangerous"
"15-17","Warrior","Ironlander","Dangerous"
"18-38","Wolf","Animal","Dangerous"
"39-54","Haunt","Horror","Formidable"
"55-78","Pack of wolves","Animal","Formidable"
"79-81","Band of Raiders","Ironlander","Formidable"
"82-84","Large Band of Raiders","Ironlander","Extreme"
"85-110","Giant","Firstborn","Extreme"
"111-113","Elder Beast","Beast","Extreme"
"114-116","Iron Wyvern","Beast","Extreme"
"117-119","Mammoth","Beast","Extreme"
"120-122","Mountain Primordial","Firstborn","Extreme"
"123-125","Iron Revenant","Horror","Extreme"
"126-128","Chimera","Horror","Extreme"
"129-133","Trio of Enraged Mammoths","Beast","Epic"
