"Rolls","Foe","Type","Rank"
"1-6","Common folk","Ironlander","Troublesome"
"7-9","Mystic","Ironlander","Dangerous"
"10-12","Warrior","Ironlander","Dangerous"
"13-28","Bonewalker","Horror","Dangerous"
"29-31","Group of Desperate Warriors","Ironlander","Formidable"
"32-42","Frostbound","Horror","Formidable"
"43-56","Silver Bear","Animal","Formidable"
"57-59","Haunt","Horror","Formidable"
"60-87","Giant","Firstborn","Extreme"
"88-92","Mountain Primordial","Firstborn","Extreme"
"93-112","Elder Beast","Beast","Extreme"
"113-115","Iron Wyvern","Beast","Extreme"
"116-118","Iron Revenant","Horror","Extreme"
"119-121","Chimera","Horror","Extreme"
"122-124","Gathering of Giants","Firstborn","Epic"
