"Rolls","Foe","Type","Rank"
"1-7","Common folk","Ironlander","Troublesome"
"8-12","Mystic","Ironlander","Dangerous"
"13-15","Warrior","Ironlander","Dangerous"
"16-28","Bonewalker","Horror","Dangerous"
"29-40","Frostbound","Horror","Formidable"
"41-53","Silver Bear","Animal","Formidable"
"54-56","Haunt","Horror","Formidable"
"57-83","Giant","Firstborn","Extreme"
"84-86","Mountain Primordial","Firstborn","Extreme"
"87-104","Elder Beast","Beast","Extreme"
"105-107","Iron Wyvern","Beast","Extreme"
"108-110","Iron Revenant","Horror","Extreme"
"111-113","Chimera","Horror","Extreme"
"114-116","Gathering of Giants","Firstborn","Epic"
