"Rolls","Foe","Type","Rank"
"1-23","Broken","Ironlander","Troublesome"
"24-26","Common folk","Ironlander","Troublesome"
"27-40","Raider","Ironlander","Dangerous"
"41-43","Mystic","Ironlander","Dangerous"
"44-46","Warrior","Ironlander","Dangerous"
"47-66","Wolf","Animal","Dangerous"
"67-69","Boar","Animal","Dangerous"
"70-72","Bonewalker","Horror","Dangerous"
"73-87","Sodden","Horror","Formidable"
"88-90","Haunt","Horror","Formidable"
"91-103","Sea Primordial","Firstborn","Extreme"
"104-111","Tawny Wyvern","Beast","Extreme"
"112-114","Iron Revenant","Horror","Extreme"
"115-117","Chimera","Horror","Extreme"
