"Rolls","Foe","Type","Rank"
"1-12","Common folk","Ironlander","Troublesome"
"13-15","Raider","Ironlander","Dangerous"
"16-18","Mystic","Ironlander","Dangerous"
"19-21","Warrior","Ironlander","Dangerous"
"22-40","Wolf","Animal","Dangerous"
"41-55","Haunt","Horror","Formidable"
"56-76","Pack of wolves","Animal","Formidable"
"77-99","Giant","Firstborn","Extreme"
"100-109","Elder Beast","Beast","Extreme"
"110-112","Iron Wyvern","Beast","Extreme"
"113-115","Mammoth","Beast","Extreme"
"116-118","Mountain Primordial","Firstborn","Extreme"
"119-121","Iron Revenant","Horror","Extreme"
"122-124","Chimera","Horror","Extreme"
